"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Dewan Serbaguna Felda Kemasul, Chemomoi",0,0,0,1,"3.2829319",102.2253746,"Bentong","","Pahang"
"Dewan Serbaguna Gerik",0,0,0,1,"5.42771",101.12482,"Hulu Perak","","Perak"
"Dewan Serbaguna Guar Chempedak",0,0,0,1,"5.85271",100.46125,"Yan","","Kedah"
"Dewan Serbaguna Jalan Genuang",0,0,0,1,"2.49456",102.84761,"Segamat","","Johor"
"Dewan Serbaguna Jawi",0,0,0,1,"5.1991",100.4927,"Seberang Perai Selatan","","Pulau Pinang"
"Dewan Serbaguna Kementerian Dalam Negeri, Anak Bukit",0,0,0,1,"6.1855211",100.3743905,"Kota Setar","","Kedah"
"Dewan Serbaguna Lamag",0,0,0,1,"4.9493267",118.1872757,"Lahad Datu","","Sabah"
"Dewan Serbaguna Libaran",0,0,0,1,"5.9058806",118.0533981,"Sandakan","","Sabah"
"Dewan Serbaguna Majlis Daerah Nabawan",0,0,0,1,"5.0420605",116.4333973,"Nabawan","","Sabah"
"Dewan Serbaguna Majlis Daerah Selama Permai 2",0,0,0,1,"4.7250375",100.7147065,"Larut, Matang dan Selama","","Perak"
"Dewan Serbaguna Padang Tengku",0,0,0,1,"4.23509",101.99398,"Lipis","","Pahang"
"Dewan Serbaguna Pagoh",0,0,0,1,"2.1535791",102.7762302,"Muar","","Johor"
"Dewan Serbaguna Perumahan Penjawat Awam Lumut Kiri",0,0,0,1,"4.2262",100.6733,"Manjung","","Perak"
"Dewan Serbaguna Pusat Latihan Sawit M'sia (PLASMA) MPOB",0,0,0,1,"2.7854425",102.921647,"Lahad Datu","","Sabah"
"Dewan Serbaguna RPS Merapoh",0,0,0,1,"4.6924074",102.0011882,"Lipis","","Pahang"
"Dewan Serbaguna Selangau",0,0,0,1,"2.53176",112.32785,"Selangau","","Sarawak"
"Dewan Serbaguna Seri Iskandar",0,0,0,1,"4.36547",100.95566,"Perak Tengah","","Perak"
"Dewan Serbaguna Sg Tarom",0,0,0,1,"5.5178",102.7644,"Setiu","","Terengganu"
"DEWAN SERBAGUNA SG. BAKAP",0,0,0,1,"5.4183",100.3049,"Seberang Perai Selatan","","Pulau Pinang"
"Dewan Serbaguna Sibu Jaya",0,0,0,1,"2.24517",111.95911,"Sibu","","Sarawak"
"Dewan Serbaguna Sipitang",0,0,0,1,"5.0803277",115.547628,"Sipitang","","Sabah"
"Dewan Serbaguna Taman Yayasan",0,0,0,1,"2.560017",102.7938983,"Segamat","","Johor"
"Dewan Serbaguna Tambisan",0,0,0,1,"5.449404",119.1474473,"Lahad Datu","","Sabah"
"Dewan Seri Bernam Sg Besar",0,0,0,1,"3.677",100.9917,"Sabak Bernam","","Selangor"
"Dewan Seri Melati, Perlis",0,0,0,1,"6.5152961",100.2364299,"Perlis","","Perlis"
"Dewan Seri Rembau",0,0,0,1,"2.59179",102.09914,"Rembau","","Negeri Sembilan"
